,LOCATIONID,LOCATIONNAME,MUNICIPALITY,PRICE_SALE,PRICE_RENT,UNITPRICE_SALE,UNITPRICE_RENT,GROSS_YIELD,GROSS_YIELD_MA12,GROSS_YIELD_VOLATILITY,VIEWS_PER_AD_SALE,VIEWS_PER_AD_RENT,LEADS_PER_AD_SALE,LEADS_PER_AD_RENT,NET_HOUSEHOLD_INCOME,EFFORTRATE_SALE,EFFORTRATE_RENT,YEAR,MONTH,Edad media de la población,Población,Porcentaje de población de 65 y más años,Porcentaje de población menor de 18 años,Tamaño medio del hogar
117,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,333780.65340375,948.317705355757,3971.90866076079,14.9056537715071,4.50332221949495,4.86910888544543,0.202685855487847,122.046286491551,134.364502606928,2.35791594263289,5.1653598047815,,,,2018,5,44.0,152562.0,19.1,14.1,2.4
118,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,328159.287346898,931.108567985625,4026.59419167648,14.9631887457001,4.45930869615748,4.82267393718623,0.226072996462159,112.276595330658,126.953743447432,2.16448855957813,5.03370260156696,34142.3516864239,43.5404887914149,42.961272287742,2018,6,44.0,152562.0,19.1,14.1,2.4
119,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,325657.290711586,934.237452872705,4063.26570997636,15.0316923301098,4.43929392848805,4.76992724207822,0.235338642397239,92.9913316901493,109.722978508412,1.68021258152249,4.33566103798583,,,,2018,7,44.0,152562.0,19.1,14.1,2.4
120,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,330518.101402652,973.572270219652,4078.50384257046,15.2796245746193,4.49565580842687,4.71559997348576,0.216370596030237,82.0223795141355,107.753976161186,1.35057019364724,4.97498633815452,,,,2018,8,44.0,152562.0,19.1,14.1,2.4
121,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,322900.881985644,1008.57536756623,4077.90444061831,15.1329732371875,4.4531617032869,4.66001925746098,0.189286663150486,109.850204260513,124.39015846006,1.93594905035433,5.40306680959862,34031.7133464306,45.5261502398298,43.7330739618871,2018,9,44.0,152562.0,19.1,14.1,2.4
122,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,316101.676999341,1031.41071941923,4066.29108977583,14.8812186932158,4.39158487122558,4.61244158196207,0.178732065987949,104.264349830879,106.912178268408,1.68723976032995,4.22384857310058,,,,2018,10,44.0,152562.0,19.1,14.1,2.4
123,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,315100.219099871,1048.77301381996,4085.3876086165,14.8977759158111,4.37592042950055,4.56712972941505,0.16336597817581,97.1982935880126,97.6363642490162,1.49165492840424,3.9082286309786,,,,2018,11,44.0,152562.0,19.1,14.1,2.4
124,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,316254.857981038,1044.49719534691,4088.07009988815,14.9857855801406,4.39888315434237,4.52664149046113,0.137846256670655,85.1456997135888,84.2367735626483,1.21208652893529,3.48667865944231,33960.779835314,44.3531202036316,43.1973566236019,2018,12,44.0,152562.0,19.1,14.1,2.4
125,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,319212.713988764,1046.17200912634,4109.26816814493,15.0375825239043,4.39131696698962,4.49265411961825,0.114818997148981,101.36767464133,106.041484784638,1.56712524718325,4.48038029117196,,,,2019,1,44.1,154135.0,19.4,13.8,2.4
126,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,319315.983000419,1033.94916882533,4107.92646426475,15.0941135446957,4.40926496888419,4.46359104147343,0.0839635651247394,109.624226256342,104.990606794364,1.75329469761404,4.28488532033921,,,,2019,2,44.1,154135.0,19.4,13.8,2.4
127,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,317025.026374153,1047.63193303348,4099.11112710283,15.2104500244311,4.45280439181894,4.44509717607029,0.0547955674670195,104.413208468546,98.7850934804098,1.67638695662337,3.96807232552611,34629.6429291195,45.2895549856995,42.9607855259301,2019,3,44.1,154135.0,19.4,13.8,2.4
128,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,319342.122857637,1045.43322287499,4098.46093215374,15.3440148802551,4.49261763406154,4.43859456438975,0.0428351325543725,90.6234808845119,97.5657437502425,1.33707522515724,3.91928189486365,,,,2019,4,44.1,154135.0,19.4,13.8,2.4
129,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,319505.836472276,1065.29987699457,4091.59215715663,15.4613394162625,4.53456908383765,4.44119846975164,0.0473974842349294,82.9468906292094,107.666359033789,1.24317421585322,4.4851977890281,,,,2019,5,44.1,154135.0,19.4,13.8,2.4
130,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,318822.528692611,1067.75863287734,4098.44950356463,15.5320607274479,4.54768879224367,4.44856347775883,0.0557670351479224,78.8406164700762,103.998226028216,1.18295501537134,4.37500771665865,35304.0196489969,43.1750977812591,42.9446717813321,2019,6,44.1,154135.0,19.4,13.8,2.4
